Date;Open;High;Low;Close
28.09.2018;116850;116950;116830;116940
28.09.2018;116930;116990;116910;116930
28.09.2018;116940;117010;116940;117000
28.09.2018;117000;117040;116970;116990
28.09.2018;116990;117070;116980;116990
28.09.2018;116990;117080;116990;117080
28.09.2018;117080;117130;117020;117030
28.09.2018;117040;117060;116990;117020
28.09.2018;117020;117150;117010;117120
28.09.2018;117140;117140;117020;117030
28.09.2018;117030;117050;117000;117020
28.09.2018;117010;117070;117010;117040
28.09.2018;117030;117140;117020;117130
28.09.2018;117140;117160;117050;117070
28.09.2018;117060;117120;117020;117120
28.09.2018;117120;117230;117100;117220
28.09.2018;117220;117220;117150;117180
28.09.2018;117190;117240;117170;117220
28.09.2018;117210;117250;117190;117190
28.09.2018;117200;117220;117170;117210
28.09.2018;117210;117290;117210;117230
28.09.2018;117240;117270;117190;117190
28.09.2018;117180;117220;117040;117070
28.09.2018;117050;117240;117050;117160
28.09.2018;117160;117220;117160;117190
28.09.2018;117200;117200;117120;117170
28.09.2018;117160;117200;117160;117200
28.09.2018;117190;117320;117190;117270
28.09.2018;117270;117380;117260;117370
28.09.2018;117370;117410;117350;117380
28.09.2018;117380;117500;117370;117410
28.09.2018;117420;117470;117410;117440
28.09.2018;117440;117570;117420;117510
28.09.2018;117510;117610;117510;117520
28.09.2018;117540;117710;117520;117670
28.09.2018;117660;117780;117610;117720
28.09.2018;117740;117790;117640;117640
28.09.2018;117650;117730;117640;117680
28.09.2018;117680;117720;117650;117690
28.09.2018;117690;117730;117670;117720
28.09.2018;117710;117750;117620;117700
28.09.2018;117700;117880;117700;117830
28.09.2018;117840;117900;117810;117880
28.09.2018;117890;117960;117880;117910
28.09.2018;117910;117930;117860;117870
28.09.2018;117870;117870;117810;117840
28.09.2018;117840;117860;117730;117730
28.09.2018;117750;117800;117750;117760
28.09.2018;117760;117800;117720;117750
28.09.2018;117760;117800;117740;117760
28.09.2018;117760;117820;117750;117800
28.09.2018;117790;117810;117750;117760
28.09.2018;117760;117840;117750;117840
28.09.2018;117840;117940;117840;117930
28.09.2018;117930;118060;117930;117980
28.09.2018;117980;118060;117970;118030
28.09.2018;118020;118110;118010;118040
28.09.2018;118030;118080;118030;118060
28.09.2018;118050;118080;117960;117990
28.09.2018;117980;117990;117910;117910
28.09.2018;117910;117940;117870;117930
28.09.2018;117940;118000;117910;117940
28.09.2018;117940;118020;117930;117990
28.09.2018;118000;118020;117950;118000
28.09.2018;118000;118030;117980;118020
28.09.2018;118030;118030;117970;117980
28.09.2018;117970;117990;117950;117960
28.09.2018;117980;118050;117980;118010
28.09.2018;118020;118050;117980;117980
28.09.2018;117980;118050;117980;118020
28.09.2018;118020;118070;118000;118030
28.09.2018;118020;118060;117960;117980
28.09.2018;117990;118010;117860;117870
28.09.2018;117870;118020;117870;118000
28.09.2018;118000;118060;117990;118060
28.09.2018;118060;118070;117980;118010
28.09.2018;118010;118020;117940;117950
28.09.2018;117950;118060;117950;118040
28.09.2018;118050;118260;118050;118140
28.09.2018;118140;118170;118090;118130
28.09.2018;118140;118160;118090;118100
28.09.2018;118110;118170;118100;118100
28.09.2018;118090;118150;118060;118070
28.09.2018;118060;118180;118040;118150
28.09.2018;118150;118210;118050;118050
28.09.2018;118060;118100;118060;118080
28.09.2018;118080;118120;118070;118120
28.09.2018;118120;118170;118100;118170
28.09.2018;118130;118200;118060;118120
28.09.2018;118130;118190;118120;118180
28.09.2018;118170;118200;118160;118180
28.09.2018;118200;118250;118180;118220
28.09.2018;118230;118290;118230;118260
28.09.2018;118250;118350;118250;118300
28.09.2018;118290;118300;118090;118110
28.09.2018;118120;118130;118040;118100
28.09.2018;118110;118120;118090;118110
28.09.2018;118100;118120;118040;118050
28.09.2018;118050;118070;117960;118060
28.09.2018;118050;118080;118030;118060
28.09.2018;118080;118090;118060;118090
28.09.2018;118090;118120;118070;118120
28.09.2018;118100;118130;118070;118070
28.09.2018;118080;118180;118080;118160
28.09.2018;118160;118200;118110;118110
28.09.2018;118120;118150;118070;118090
28.09.2018;118090;118110;118060;118080
28.09.2018;118080;118100;118060;118060
28.09.2018;118060;118060;118040;118060
28.09.2018;118060;118120;118050;118110
28.09.2018;118110;118110;118090;118100
28.09.2018;118100;118140;118090;118140
28.09.2018;118140;118170;118110;118110
28.09.2018;118120;118120;118050;118050
28.09.2018;118050;118080;118040;118040
28.09.2018;118040;118070;118010;118050
28.09.2018;118060;118080;118040;118040
28.09.2018;118050;118080;118040;118080
28.09.2018;118080;118090;118030;118060
28.09.2018;118060;118080;118040;118080
28.09.2018;118090;118090;118070;118070
28.09.2018;118080;118080;117980;117990
